antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.05139113001809203,0.047968314507848026,0.031294313236516554,0.6089438629876308,12.694710440326237,1.0,0.028829167348895006,2.4345141154556003,0.9711347454896907,0.4597701149425287,0.5892404181797657,0.6306696888842334
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.047968314507848026,0.05139113001809203,0.031294313236516554,0.6523955147808359,12.694710440326237,1.0,0.028829167348895006,2.72898915381892,0.967643249229584,0.4597701149425287,0.6335639522053028,0.6306696888842334
frozenset({'CHARLOTTE BAG PINK POLKADOT'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.036330741773018434,0.050559874822747056,0.025524424233533814,0.702557200538358,13.895548653974815,1.0,0.023687546477272454,3.1920091086275972,0.9630218041645573,0.4159362549800797,0.6867176859561188,0.6036963952401655
frozenset({'RED RETROSPOT CHARLOTTE BAG'}),frozenset({'CHARLOTTE BAG PINK POLKADOT'}),0.050559874822747056,0.036330741773018434,0.025524424233533814,0.504835589941973,13.895548653974817,1.0,0.023687546477272454,1.946160181653709,0.9774544840333262,0.4159362549800797,0.48616768063239746,0.6036963952401655
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.044007627988851404,0.04156275976724855,0.026306782064446727,0.5977777777777777,14.382533333333331,1.0,0.024477703594419652,2.382855017153249,0.9733040209962734,0.4438943894389438,0.5803353570396068,0.615359477124183
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.04156275976724855,0.044007627988851404,0.026306782064446727,0.6329411764705882,14.382533333333333,1.0,0.024477703594419652,2.604466398107296,0.970821229248413,0.4438943894389438,0.6160441921129354,0.615359477124183
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.03706420223949929,0.04464329372646814,0.026697960979903183,0.7203166226912928,16.134934557129935,1.0,0.025043292912587996,3.415850864883665,0.9741279556950099,0.4853333333333333,0.7072471722110569,0.6591725501189214
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.04464329372646814,0.03706420223949929,0.026697960979903183,0.5980284775465499,16.134934557129935,1.0,0.025043292912587996,2.3955323797148154,0.9818559643516138,0.4853333333333333,0.5825562582798198,0.6591725501189214
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.037455381154955746,0.04963082489853797,0.03095203168549215,0.8263707571801566,16.650353059203333,1.0,0.029093090221882542,5.47355479795278,0.9765170310751363,0.5513937282229966,0.8173033728694887,0.7250080386886004
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04963082489853797,0.037455381154955746,0.03095203168549215,0.6236453201970443,16.650353059203336,1.0,0.029093090221882542,2.5575465657793717,0.9890274622717669,0.5513937282229966,0.6090002765227205,0.7250080386886004
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.05212459048457288,0.04963082489853797,0.03755317588381986,0.7204502814258912,14.516185916690542,1.0,0.03496618946057203,3.3996427538864378,0.9823141013240478,0.5849200304645849,0.7058514460506741,0.7385502638656549
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.04963082489853797,0.05212459048457288,0.03755317588381986,0.7566502463054187,14.516185916690542,1.0,0.03496618946057203,3.895115549223313,0.9797365123567952,0.5849200304645849,0.7432682067161268,0.7385502638656549
frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.04562124101510929,0.10229328639186348,0.02860495819275341,0.6270096463022508,6.129528812871572,1.0,0.023938211520042607,2.406782654587331,0.8768587050480687,0.2397540983606557,0.5845075590460989,0.45332317879166073
