Rule,Strength
"('BAG', 'BOX')",20.28971688425994
"('BAG', 'CANDLE')",6.124150408292993
"('BAG', 'CARD')",5.1213143611559335
"('BAG', 'CHRISTMAS')",7.498361938291526
"('BAG', 'CLOCK')",1.6597232409173146
"('BAG', 'CUSHION')",1.7189868466089677
"('BAG', 'DRAWER')",1.8473913256075498
"('BAG', 'EGG')",4.002004791941714
"('BAG', 'FLOWER')",4.809495868172705
"('BAG', 'GLASS')",7.1159356510684075
"('BAG', 'HEART')",6.450784802699134
"('BAG', 'HOME')",16.936580118331623
"('BAG', 'KEY')",0.93154368979512
"('BAG', 'MIRROR')",0.8864114224243314
"('BAG', 'MUG')",8.439929587795218
"('BAG', 'NECKLACE')",2.142975893599335
"('BAG', 'NOTEBOOK')",6.035939562857562
"('BAG', 'NUMBER')",0.3144100532981272
"('BAG', 'PINK')",13.098968265610484
"('BAG', 'SET')",11.95956187961469
"('BAG', 'SIGN')",4.569849885091194
"('BAG', 'STAND')",8.130702655126889
"('BAG', 'T-LIGHT')",3.4121558847978095
"('BAG', 'WALL')",2.153146545401203
"('BAG', 'WRAP')",9.392352452202827
"('BOX', 'CANDLE')",12.795168940394113
"('BOX', 'CARD')",10.732140237641191
"('BOX', 'CHRISTMAS')",16.97765390445455
"('BOX', 'CLOCK')",3.5506821182338273
"('BOX', 'CUSHION')",3.327905725881375
"('BOX', 'DRAWER')",3.7238276856877413
"('BOX', 'EGG')",7.985184098577086
"('BOX', 'FLOWER')",9.676837318468534
"('BOX', 'GLASS')",15.056867634834482
"('BOX', 'HEART')",12.68955063322087
"('BOX', 'HOME')",31.71047870519779
"('BOX', 'KEY')",1.845777712581292
"('BOX', 'MIRROR')",1.6594298567307222
"('BOX', 'MUG')",18.047332648770233
"('BOX', 'NECKLACE')",4.148745782602318
"('BOX', 'NOTEBOOK')",12.195100484083907
"('BOX', 'NUMBER')",0.545303408146301
"('BOX', 'PINK')",26.142780304141606
"('BOX', 'SET')",24.82822355875018
"('BOX', 'SIGN')",9.17969781428781
"('BOX', 'STAND')",17.89447948755562
"('BOX', 'T-LIGHT')",6.983521588186397
"('BOX', 'WALL')",4.721773996381595
"('BOX', 'WRAP')",20.07730673316708
"('CANDLE', 'CARD')",3.5399246980587744
"('CANDLE', 'CHRISTMAS')",6.145518556549802
"('CANDLE', 'CLOCK')",1.0268935504376313
"('CANDLE', 'CUSHION')",1.154124492689844
"('CANDLE', 'DRAWER')",1.1560314899026942
"('CANDLE', 'EGG')",2.862207227030463
"('CANDLE', 'FLOWER')",3.332942154417877
"('CANDLE', 'GLASS')",4.864554300523202
"('CANDLE', 'HEART')",4.641288934526429
"('CANDLE', 'HOME')",9.978045083370006
"('CANDLE', 'KEY')",0.6716541978387365
"('CANDLE', 'MIRROR')",0.6450051342232653
"('CANDLE', 'MUG')",5.89897804508337
"('CANDLE', 'NECKLACE')",1.684905383599824
"('CANDLE', 'NOTEBOOK')",4.110116864700992
"('CANDLE', 'NUMBER')",0.19617622610141314
"('CANDLE', 'PINK')",8.852965625152803
"('CANDLE', 'SET')",7.765439342819422
"('CANDLE', 'SIGN')",2.9602464427167376
"('CANDLE', 'STAND')",5.7143904943523545
"('CANDLE', 'T-LIGHT')",2.6341988166837806
